Oracion                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | Etiqueta Real   | Predicción
compre xbox x usando me arrepiento  puedo escuchar juego adaptarme chat  sonido juegos gente ve claramente                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 4.0             | 4.0
auriculare comodos suenan bien  problema microfono demasiado sensible casi siempre causa agotamiento bateria problemas control calidad fabricacion  hecho  usando segundo auricular  primero murio despues 40 dia  presione boton encendido  altavoces  explotaron  apago  despues buscar google  resulta raro  puse contacto razer  despues solucionar problemas  programaron devolucion  despues recibir auriculare  determinaron tenian defecto fabricacion enviaron inmediato reemplazo  puedo quejar servicio atencion cliente razer  geniales  habia comprado auriculare inalambricos microsoft tiempo kiara pro iba ser esposa  microfono constantemente encendido agotando bateria  realmente molesto intentar usar superposicion chat grupo  usando kiara pro tendra gamertag constantemente pantalla  publicaciones internet gente cierto exito seleccionar  personalizar  seccion ecualizador microfono aplicacion razer xbox  soluciono problema  volvere ponerme contacto razer  vez solicitar reembolso  sorprende tan bien valorado aqui  quizas mala suerte do veces  | 1.0             | 4.0
compania sugiere puede utilizar auriculare bluetooth regulares pc telefono  embargo  si enciende auriculare casa  encendera xbox  si va apaga fisicamente xbox  apaga auricular  creo unica forma evitarlo mantener xbox pared  definitivamente practico 2021  juegos necesitan actualizaciones casi diarias consola inactiva  si deseas auricular juegos usarlo telefono mientras xbox encendida  buen auricular  hable razer revision  planeado oficialmente tema  devolvera producto actualizara resena si ponen contacto conmigo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 1.0             | 5.0
2 auriculare  primero murio recientemente  pesar buenos dinero comparacion basura steel series arctis 9x vengo  unico falta factor comprar extensor usb c usar cable ademas venian puerto conector axilar completamente ausente  si hacen revision secuela  auriculare puerto auxiliar puerto usb c empotrado ma estandar  seran auriculare practicamente perfectos                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 3.0             | 4.0
coherente descripcion  genial                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 5.0             | 3.0
definitivamente demasiado engorroso cuesta  ademas  cubierta goma ajusta correctamente controlador  decepcionado haber pagado precio tan alto  lamentablemente  merecia pena                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 1.0             | 2.0
auriculare extremadamente pequenos  menos cabeza tamano nino 10 ano  estiraran  hincharan   buen espacio 2 pulgadas barra pasa encima cabeza costado cabeza  compre 25 dolares  vale pena devolverlos  asi regale hijo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 2.0             | 3.0
producto bien  retrasaron me producto demasiado tarde recibirlo regalo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 1.0             | 1.0
solo duro 30 dia aprox  deja conectarse wifi  embargo  foco sigue prendiendo  funciones  inteligentes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 3.0             | 4.0
usando consola xbox series s respuesta notablemente ma rapida controlador xbox original  viene accesorios normalmente pagar ma  ahora  palo desvia tamano ubicacion paletas perfectos manos ma pequenas                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | 5.0             | 1.0
encanta dobby peliculas emocionada ver  encuentro lindo espeluznante  expresion preciosa  supongo juguetes parlantes  jaja                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 4.0             | 1.0
principio encanto  quisimos ponerlo puerta entrada continuamente desconfiguraba  haciendo quedaramos luz afuera dificultando tan simple buscar llaves entrar  terminamos cambiandolo foco sensor                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 2.0             | 4.0
comodo  suena genial  poder conectarme telefono xbox mismo tiempo fantastico  gustaron cerro plazo devolucion amazon  despues comence tener problema desconectaba constantemente bluetooth  resulta error podium resolver actualizacion firmware  asi segui instrucciones hacerlo ahora tendra carga  ano  asi parece probable estropeado  actualizare opinion encuentre tiempo ponerme contacto servicio asistencia encontrar solucion cuenta                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 2.0             | 1.0
compatible moviles xbox  controles entrada 35  si quieren mejorar calidad audio pueden descargar apps diferentes plataformas  celular descargues buen equalizador apps permiten subir 10  ma                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 4.0             | 3.0
si buscas bajos van funcionar  cumplen funcion  incomodos despues par horas lastiman orejas  subir volumen  sencillos                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 3.0             | 5.0
buen producto                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 5.0             | 1.0
utiles  hijo usa ps5 tiempo  solo usa usb poder hablar gente                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 5.0             | 4.0
bonito decoracion iluminacion habitacion                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 4.0             | 1.0
buen producto pasar tiempo  preguntaran habia comprado 1 principio ventilador  funcionaba bien cambie ventilador 2 focos comprar malo primer foco compre cambie si                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 2.0             | 5.0
ve bonito luce                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 4.0             | 1.0
buen sonido tamano  ideal recamaras                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 5.0             | 5.0
desafortunadamente  auriculare dejan desear cuanto comodidad  puedo trabajar ma 20 minutos tener quitarmelo empiezan doler oidos  bajado presion  servido  envuelve completamente alrededor orejas  permanecen  provoca gran incomodidad dolor  comparado jbl amigo trabajo afecta oidos  comodo  mio desastre                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 2.0             | 3.0
focos competencia  feit  cerca do ano puestos programados  revisar app solamente cambiar horarios prendido apagado par veces ano  venia parte promocion compra                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 1.0             | 1.0
suenan literalmente basura barata sacada caja  problema xbox  menos caso  usa defecto window sonic auriculare  simplemente puede soportar audio ma intenso introduce recortes sonido  crujidos estallidos  cambium ajuste estereo comprimir calidad sonido mejorara dramaticamente  telefono conectado  desactiva opcion usar audio hd  aac auriculare  vez ma  calidad sonido mejorara drasticamente escuches musica telefono  dandole sonido ma completo  amplio claro  razer historial problematico bluetooth especificamente  problemas simple solucionar inmediato sorprenden momento  asi 1 estrella cosas tipicas razer                                                                                                                                                                                                                                                                                                                                                                                                           | 4.0             | 3.0
unas 700 horas mando  tiempo  puedo describir principio  diferencia  mejor mando usado  mucha gente comparara gamesir g7  tambien usado  victrix gambit  superior  ma rapido  008 segundos   ma fluido  tacto ma agradable  mejor personalizacion combinaciones teclas  ma facil actualizar  etc  juegos juego mando serian tom clancy s r6s  fortnite  battlefield  dayz  forza  ghost recon  stray ma  aun asi  perder control  problemas  si jugador competitivo  consigue mando  si  quizas busques opcion ma economica  sigue siendo gran mando                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 5.0             | 3.0
cargando ma veinticuatro horas paso absolutamente  pidiendo nieto revise diga problema  mientras esperar  saludos                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 1.0             | 1.0
imagen producto hace parezca cabeza colocada ma arriba  parece inclinarse naturalmente hacia abajo  responde bien funciones interactivas  si activado segundos  pregunta   hola  ahi   puede configurar ingles france cada pie caben do pilas aaa  calcetin atado camisa  puede quitar dejar intacto nunca pierda  sacarlo paquete facil  solo necesitaron girar 4 diales liberarlo  habia bridas plastico  orejas camisa suaves resto cuerpo duro  veces suena musica despues hablar suena clavos pizarra  muchas lineas decir fieles pelicula  ojos ma abiertos boxeaba  despues desempacar jugar  parpados ven ma  puede potterheads ma acerrimos encante  general juguete interactivo normal                                                                                                                                                                                                                                                                                                                                         | 4.0             | 1.0
hija quedo absolutamente encantada recibio  atencion detalles impresionante  muneca mide 216 cm altura parece querido dobby peliculas harry potter  muneca repleta caracteristicas  ma 30 sonidos frases dan vida personaje  incluso viene calcetin dobby sostenga  toque agradable  muneca activa movimiento respondera acciones hija variedad frases sonidos  hija encanta jugar nuevo muneco dobby lleva horas haciendolo realizar diferentes tareas  convertido rapidamente juguete favorito  encanta hablar hacer haga tonterias  muneca bien construida duradera  asi seguro durara tiempo                                                                                                                                                                                                                                                                                                                                                                                                                                         | 5.0             | 4.0
tenia muchas ganas amar mando victrix  zona muerta gran decepcion  utilice aplicacion proporcionada bajar zona muerta punto ma bajo todavia grande  ahora uso powera fusion pro 2  realmente zona muerta sigue siendo tiempo respuesta rapido 3 m  recomiendo lugar  victrix averigue llevar zeadzone cero  guardare caja                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 4.0             | 3.0
100  compatible xbox series x  sincroniza bien  veces ruido juego tiempo vuelve normalizar  microfono funciona bien  quejas                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 5.0             | 5.0
controlador resistente retraso pc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 4.0             | 3.0
comprobe comprobar calidad sonido control volumen  saque caja  probe cabeza  atras estan  cosa queda apretada  cabeza grande    auriculare si demasiado pequenos oidos  orejas grandes    asi devolvi                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 2.0             | 5.0
si gusto  seguido desconecta app estarlo configurando  gustaria adicional wifi trajera control                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 3.0             | 1.0
kaira pro  version ma cara  primero hice actualizar firmware  problemas auriculare caja gran tarjeta instrucciones dice actualizar firmware usarlo  dire auriculare funcionan absolutamente bien funcionan   sonido envolvente simulado bueno  facil saber si sonido detras  debajo encima  claro suena bien   duracion bateria excelente  use varias horas cargarla   facil conectar xbox  dicho  vuelve absolutamente loco funciona plano  audio corta tiempo  sala tamano medio  xbox vista  movi xbox ver si problema conexion  parece importa si cerca  si apago enciendo nuevo  audio bueno tiempo  luego comienza cortarse nuevo  vuelvo auriculare microsoft  producto simplemente alli  parece problema comun auricular serie x especificamente                                                                                                                                                                                                                                                                                 | 1.0             | 3.0
asociacion sencilla xbox  si va comprar solo xbox  hazte favor compra version funcionalidad bluetooth  podido encontrar manera usar bluetooth encender tambien xbox encender auriculare  intencion original usar bluetooth televisor  solo iba usarse televisor                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 5.0             | 5.0
cuesta encender producto  quizas par defectuoso  ademas  incomodos llevar dan dolor cabeza  aparte problemas  calidad sonido bastante buena  alegro haber pagado precio completo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 3.0             | 5.0
general buen audio  bajo falta  compensa calidad                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 4.0             | 1.0
auriculare geniales  comodos faciles usar  unica queja conexion falla vez apaga mando                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 4.0             | 1.0
dijeron usar cabezal sonaba si hablando detras puerta  realmente amortiguado sonaba si hablando microfono pie distancia  tambien vez auriculare apagaban creo tenia ver bluetooth   ultimo  ajuste sonido horrible pasaria alto casi cualquier audio rapidamente molesto                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 2.0             | 4.0
llego color negro  publicacion dice ve color blanco  facil armar  momento escribir tambalea  sugiero carges tantas cosas                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 3.0             | 5.0
veces falla siempre  cumple cometido amplia personalizacion                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 4.0             | 3.0
buena iluminacion  varios tono s colores facil instalar                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | 5.0             | 1.0
problrmas conexion  conflictos conexion xbox bt soportan estat conectados lismo tiempo  calidad sonido mala  cada 30min aproximadamente  hace ruido si reventara bocina  actualice descarga                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 1.0             | 5.0
auriculare emiten constantemente ruidos extranos  sonido tambalea comprime demasiado  bluetooth solo funciona encendiendo xbox parte  luego  si apagas xbox  auriculare apagan  si intentas salir casa bluetooth  emiten pitido constante pueden encontrar xbox  sonido funciona minutos seguidos  suena bien  comodidad auriculare buena microfono bueno  extremadamente decepcionado                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 2.0             | 4.0
